Номер Животного,Пол,Номер лактации,Результат отела,Легкость отела,Дата рождения,Дней в сухостое предыдущей лактации,Дней стельности при событии,Номер группы животного,Предыдущий номер группы животного,Событие,Дни доения при событии,Дата события,Примечание события
304034,1,4,FA,1,2013-04-16,62,283,18,17,ПЕРЕВОД,326,2019-03-25,F017T018
304051,1,3,MA,1,2013-04-23,103,282,18,17,ПЕРЕВОД,357,2019-03-06,F017T018
304051,1,4,MA,1,2013-04-23,65,0,21,44,ПЕРЕВОД,2,2019-04-08,F044T021
304051,1,4,MA,1,2013-04-23,65,0,44,21,ПЕРЕВОД,2,2019-04-08,F021T044
304066,1,4,FA,3,2013-04-28,56,0,42,11,ПЕРЕВОД,90,2019-03-05,F011T042
304066,1,4,FA,3,2013-04-28,56,0,1,42,ПЕРЕВОД,100,2019-03-15,F042T001
304066,1,4,FA,3,2013-04-28,56,0,12,10,ПЕРЕВОД,124,2019-04-08,F010T012
306032,1,4,MA,1,2013-06-29,59,265,7,6,ПЕРЕВОД,286,2019-03-29,F006T007
307014,1,4,MA,1,2013-07-07,41,0,13,5,ПЕРЕВОД,146,2019-03-11,F005T013
307014,1,4,MA,1,2013-07-07,41,0,3,13,ПЕРЕВОД,148,2019-03-13,F013T003
307014,1,4,MA,1,2013-07-07,41,0,5,10,ПЕРЕВОД,164,2019-03-29,F010T005
307014,1,4,MA,1,2013-07-07,41,0,3,5,ПЕРЕВОД,168,2019-04-02,F005T003
307019,1,4,MA,1,2013-07-08,61,278,12,6,ПЕРЕВОД,232,2019-04-09,F006T012
307060,1,4,FA,1,2013-07-28,62,0,42,13,ПЕРЕВОД,132,2019-03-18,F013T042
308094,1,4,FA,1,2013-08-18,52,274,12,10,ПЕРЕВОД,118,2019-03-15,F010T012
308095,1,4,MA,1,2013-08-18,62,279,4,7,ПЕРЕВОД,236,2019-03-25,F007T004
308124,1,4,MA,1,2013-08-24,51,234,7,10,ПЕРЕВОД,151,2019-04-02,F010T007
309023,1,4,FA,1,2013-09-04,57,0,11,10,ПЕРЕВОД,62,2019-03-22,F010T011
309037,1,4,MA,1,2013-09-08,54,270,3,6,ПЕРЕВОД,198,2019-03-13,F006T003
309104,1,4,MA,1,2013-09-30,61,276,6,10,ПЕРЕВОД,245,2019-04-15,F010T006
310067,1,4,MA,1,2013-10-19,64,0,3,13,ПЕРЕВОД,76,2019-03-13,F013T003
310067,1,4,MA,1,2013-10-19,64,0,23,3,ПЕРЕВОД,102,2019-04-08,F003T023
310121,1,3,MA,1,2013-10-29,52,0,5,7,ПЕРЕВОД,587,2019-03-14,F007T005
310135,1,4,MA,1,2013-10-31,54,284,12,11,ПЕРЕВОД,129,2019-03-07,F011T012
311063,1,3,MA,1,2013-11-10,57,275,18,17,ПЕРЕВОД,422,2019-03-25,F017T018
311063,1,4,FA,1,2013-11-10,55,175,21,44,ПЕРЕВОД,3,2019-04-22,F044T021
311068,1,4,MA,1,2013-11-10,65,0,13,3,ПЕРЕВОД,75,2019-03-13,F003T013
311081,1,4,MA,1,2013-11-14,54,272,21,2,ПЕРЕВОД,15,2019-03-20,F002T021
311081,1,4,MA,1,2013-11-14,54,272,2,21,ПЕРЕВОД,17,2019-03-22,F021T002
311092,1,4,FA,1,2013-11-16,68,0,13,3,ПЕРЕВОД,163,2019-03-13,F003T013
311092,1,4,FA,1,2013-11-16,68,0,3,13,ПЕРЕВОД,199,2019-04-18,F013T003
311103,1,4,MA,1,2013-11-19,63,0,10,11,ПЕРЕВОД,64,2019-03-29,F011T010
311134,1,3,FA,1,2013-11-27,33,0,3,10,ПЕРЕВОД,214,2019-03-28,F010T003
311139,1,4,MA,1,2013-11-29,57,145,3,10,ПЕРЕВОД,66,2019-04-08,F010T003
312029,1,4,FA,1,2013-12-06,56,0,21,44,ПЕРЕВОД,1,2019-03-08,F044T021
312029,1,4,FA,1,2013-12-06,56,0,2,21,ПЕРЕВОД,8,2019-03-15,F021T002
312031,1,4,MA,1,2013-12-06,54,0,23,3,ПЕРЕВОД,180,2019-04-08,F003T023
312037,1,3,MA,1,2013-12-06,130,282,4,7,ПЕРЕВОД,223,2019-03-05,F007T004
312037,1,3,MA,1,2013-12-06,130,282,7,4,ПЕРЕВОД,236,2019-03-18,F004T007
312039,1,3,FA,1,2013-12-07,67,0,5,4,ПЕРЕВОД,450,2019-03-05,F004T005
312132,1,3,FA,1,2013-12-23,58,275,18,17,ПЕРЕВОД,395,2019-03-11,F017T018
312132,1,4,FA,1,2013-12-23,51,265,21,44,ПЕРЕВОД,2,2019-04-08,F044T021
312132,1,4,FA,1,2013-12-23,51,265,2,21,ПЕРЕВОД,6,2019-04-12,F021T002
312139,1,3,FA,1,2013-12-24,52,269,12,6,ПЕРЕВОД,269,2019-04-02,F006T012
312139,1,3,FA,1,2013-12-24,52,269,42,12,ПЕРЕВОД,272,2019-04-05,F012T042
312163,1,3,FA,1,2013-12-27,63,239,3,4,ПЕРЕВОД,350,2019-04-12,F004T003
312163,1,3,FA,1,2013-12-27,63,239,45,17,ПЕРЕВОД,356,2019-04-18,F017T045
400091,1,3,FA,1,2014-04-01,66,285,18,17,ПЕРЕВОД,321,2019-04-08,F017T018
400106,1,3,MA,3,2014-04-08,65,289,6,11,ПЕРЕВОД,220,2019-04-15,F011T006
400117,1,3,MA,1,2014-04-12,60,285,13,3,ПЕРЕВОД,153,2019-03-18,F003T013
400117,1,3,MA,1,2014-04-12,60,285,3,10,ПЕРЕВОД,153,2019-03-18,F010T003
400117,1,3,MA,1,2014-04-12,60,285,3,13,ПЕРЕВОД,184,2019-04-18,F013T003
400130,1,3,FA,2,2014-04-16,54,285,13,3,ПЕРЕВОД,135,2019-03-13,F003T013
400130,1,3,FA,2,2014-04-16,54,285,7,10,ПЕРЕВОД,155,2019-04-02,F010T007
400130,1,3,FA,2,2014-04-16,54,285,12,7,ПЕРЕВОД,176,2019-04-23,F007T012
400171,1,3,MA,1,2014-05-03,61,0,3,11,ПЕРЕВОД,58,2019-03-07,F011T003
400171,1,3,MA,1,2014-05-03,61,0,13,3,ПЕРЕВОД,64,2019-03-13,F003T013
400171,1,3,MA,1,2014-05-03,61,0,43,13,ПЕРЕВОД,78,2019-03-27,F013T043
400193,1,3,FA,1,2014-05-07,133,284,13,3,ПЕРЕВОД,228,2019-03-13,F003T013
400370,1,3,MA,1,2014-07-15,51,270,7,4,ПЕРЕВОД,292,2019-03-20,F004T007
400370,1,3,MA,1,2014-07-15,51,270,18,17,ПЕРЕВОД,325,2019-04-22,F017T018
400377,1,3,FA,1,2014-07-18,51,213,2,21,ПЕРЕВОД,10,2019-03-12,F021T002
400377,1,3,FA,1,2014-07-18,51,213,13,3,ПЕРЕВОД,46,2019-04-17,F003T013
400377,1,3,FA,1,2014-07-18,51,213,3,11,ПЕРЕВОД,46,2019-04-17,F011T003
400377,1,3,FA,1,2014-07-18,51,213,1,42,ПЕРЕВОД,48,2019-04-19,F042T001
401023,1,3,MA,1,2014-01-04,58,277,18,17,ПЕРЕВОД,345,2019-04-02,F017T018
401024,1,4,MA,1,2014-01-04,55,34,21,44,ПЕРЕВОД,1,2019-03-14,F044T021
401024,1,4,MA,1,2014-01-04,55,34,2,21,ПЕРЕВОД,9,2019-03-22,F021T002
401048,1,4,MA,1,2014-01-08,57,272,11,10,ПЕРЕВОД,120,2019-04-19,F010T011
401076,1,4,FA,1,2014-01-14,72,282,3,11,ПЕРЕВОД,81,2019-04-17,F011T003
401155,1,2,FA,1,2014-01-27,63,274,18,17,ПЕРЕВОД,524,2019-04-02,F017T018
401161,1,4,FA,1,2014-01-27,46,278,21,44,ПЕРЕВОД,1,2019-03-12,F044T021
401161,1,4,FA,1,2014-01-27,46,278,2,21,ПЕРЕВОД,8,2019-03-19,F021T002
401161,1,4,FA,1,2014-01-27,46,278,11,10,ПЕРЕВОД,42,2019-04-22,F010T011
401178,1,4,FA,1,2014-01-30,46,0,21,2,ПЕРЕВОД,23,2019-03-20,F002T021
401178,1,4,FA,1,2014-01-30,46,0,2,21,ПЕРЕВОД,25,2019-03-22,F021T002
401178,1,4,FA,1,2014-01-30,46,0,3,10,ПЕРЕВОД,42,2019-04-08,F010T003
401178,1,4,FA,1,2014-01-30,46,0,43,3,ПЕРЕВОД,49,2019-04-15,F003T043
402023,1,3,MA,3,2014-02-03,61,268,6,11,ПЕРЕВОД,252,2019-03-11,F011T006
402023,1,3,MA,3,2014-02-03,61,268,7,6,ПЕРЕВОД,284,2019-04-12,F006T007
402056,1,4,FA,1,2014-02-06,58,0,6,11,ПЕРЕВОД,107,2019-04-15,F011T006
402068,1,4,FA,1,2014-02-07,55,93,3,11,ПЕРЕВОД,61,2019-03-18,F011T003
402068,1,4,FA,1,2014-02-07,55,93,10,11,ПЕРЕВОД,86,2019-04-12,F011T010
402083,1,3,MA,1,2014-02-08,60,0,3,5,ПЕРЕВОД,484,2019-04-08,F005T003
402083,1,3,MA,1,2014-02-08,60,0,23,3,ПЕРЕВОД,487,2019-04-11,F003T023
402084,1,4,FA,1,2014-02-08,51,187,21,44,ПЕРЕВОД,2,2019-03-11,F044T021
402084,1,4,FA,1,2014-02-08,51,187,2,21,ПЕРЕВОД,10,2019-03-19,F021T002
402089,1,3,FA,3,2014-02-08,60,275,18,17,ПЕРЕВОД,322,2019-03-19,F017T018
402089,1,4,MAMA,3,2014-02-08,57,0,21,44,ПЕРЕВОД,1,2019-04-13,F044T021
402089,1,4,MAMA,3,2014-02-08,57,0,2,21,ПЕРЕВОД,7,2019-04-19,F021T002
402108,1,3,MA,1,2014-02-09,59,272,4,10,ПЕРЕВОД,247,2019-03-25,F010T004
402132,1,3,FA,3,2014-02-10,64,282,18,17,ПЕРЕВОД,326,2019-03-11,F017T018
402132,1,4,MA,3,2014-02-10,65,76,21,44,ПЕРЕВОД,2,2019-04-15,F044T021
402132,1,4,MA,3,2014-02-10,65,76,44,21,ПЕРЕВОД,4,2019-04-17,F021T044
402141,1,3,MA,1,2014-02-11,68,280,3,13,ПЕРЕВОД,261,2019-03-13,F013T003
402141,1,3,MA,1,2014-02-11,68,280,45,17,ПЕРЕВОД,270,2019-03-22,F017T045
402141,1,3,MA,1,2014-02-11,68,280,17,45,ПЕРЕВОД,281,2019-04-02,F045T017
402150,1,4,MA,1,2014-02-12,61,75,21,44,ПЕРЕВОД,1,2019-03-27,F044T021
402150,1,4,MA,1,2014-02-12,61,75,2,21,ПЕРЕВОД,9,2019-04-04,F021T002
402155,1,3,FA,1,2014-02-13,62,278,12,5,ПЕРЕВОД,266,2019-04-23,F005T012
402178,1,3,FA,1,2014-02-15,65,278,18,17,ПЕРЕВОД,381,2019-04-22,F017T018
402179,1,3,FA,1,2014-02-15,53,278,18,17,ПЕРЕВОД,450,2019-04-02,F017T018
402180,1,2,FA,3,2014-02-15,55,259,13,3,ПЕРЕВОД,589,2019-03-13,F003T013
402180,1,2,FA,3,2014-02-15,55,259,45,17,ПЕРЕВОД,598,2019-03-22,F017T045
402180,1,2,FA,3,2014-02-15,55,259,17,45,ПЕРЕВОД,609,2019-04-02,F045T017
402258,1,3,FA,1,2014-02-23,52,70,5,11,ПЕРЕВОД,138,2019-04-18,F011T005
402259,1,3,FA,1,2014-02-23,59,272,7,4,ПЕРЕВОД,312,2019-03-13,F004T007
402259,1,3,FA,1,2014-02-23,59,272,18,17,ПЕРЕВОД,345,2019-04-15,F017T018
402302,1,3,MA,1,2014-02-28,63,274,6,7,ПЕРЕВОД,306,2019-03-11,F007T006
402308,1,3,MA,1,2014-02-28,48,277,18,17,ПЕРЕВОД,328,2019-03-06,F017T018
402308,1,4,FA,1,2014-02-28,60,184,21,44,ПЕРЕВОД,1,2019-04-02,F044T021
402308,1,4,FA,1,2014-02-28,60,184,2,21,ПЕРЕВОД,9,2019-04-10,F021T002
403027,1,3,MA,1,2014-03-03,66,274,3,13,ПЕРЕВОД,263,2019-03-13,F013T003
403027,1,3,MA,1,2014-03-03,66,274,45,17,ПЕРЕВОД,272,2019-03-22,F017T045
403032,1,3,MA,1,2014-03-04,59,276,6,10,ПЕРЕВОД,184,2019-03-11,F010T006
403056,1,4,MA,1,2014-03-08,61,275,11,10,ПЕРЕВОД,116,2019-04-05,F010T011
403056,1,4,MA,1,2014-03-08,61,275,41,11,ПЕРЕВОД,119,2019-04-08,F011T041
403056,1,4,MA,1,2014-03-08,61,275,12,41,ПЕРЕВОД,123,2019-04-12,F041T012
403061,1,3,MA,1,2014-03-09,61,0,4,5,ПЕРЕВОД,376,2019-03-18,F005T004
403062,1,3,MA,1,2014-03-09,58,286,18,17,ПЕРЕВОД,323,2019-03-11,F017T018
403062,1,4,FA,1,2014-03-09,69,0,21,44,ПЕРЕВОД,1,2019-04-18,F044T021
403075,1,3,MA,1,2014-03-10,62,278,3,6,ПЕРЕВОД,351,2019-03-13,F006T003
403075,1,3,MA,1,2014-03-10,62,278,45,17,ПЕРЕВОД,360,2019-03-22,F017T045
403075,1,3,MA,1,2014-03-10,62,278,17,45,ПЕРЕВОД,372,2019-04-03,F045T017
403080,1,3,MA,1,2014-03-11,66,277,12,7,ПЕРЕВОД,353,2019-04-09,F007T012
403091,1,4,MA,1,2014-03-12,54,46,21,44,ПЕРЕВОД,1,2019-03-06,F044T021
403091,1,4,MA,1,2014-03-12,54,46,2,21,ПЕРЕВОД,10,2019-03-15,F021T002
403095,1,4,MA,1,2014-03-12,63,287,11,10,ПЕРЕВОД,64,2019-03-15,F010T011
403107,1,3,FA,1,2014-03-14,60,276,18,17,ПЕРЕВОД,321,2019-03-11,F017T018
403107,1,4,FA,1,2014-03-14,59,238,21,44,ПЕРЕВОД,1,2019-04-08,F044T021
403107,1,4,FA,1,2014-03-14,59,238,2,21,ПЕРЕВОД,9,2019-04-16,F021T002
403139,1,3,MA,1,2014-03-17,57,276,18,17,ПЕРЕВОД,361,2019-04-08,F017T018
403143,1,3,FA,1,2014-03-18,64,280,7,6,ПЕРЕВОД,306,2019-04-09,F006T007
403144,1,4,FA,1,2014-03-18,61,276,9,10,ПЕРЕВОД,41,2019-03-25,F010T009
403153,1,3,MA,2,2014-03-19,58,263,45,18,ПЕРЕВОД,369,2019-03-08,F018T045
403153,1,4,FA,1,2014-03-19,46,277,21,2,ПЕРЕВОД,9,2019-03-20,F002T021
403153,1,4,FA,1,2014-03-19,46,277,2,21,ПЕРЕВОД,11,2019-03-22,F021T002
403153,1,4,FA,1,2014-03-19,46,277,3,10,ПЕРЕВОД,25,2019-04-05,F010T003
403194,1,3,FA,1,2014-03-23,56,280,21,44,ПЕРЕВОД,1,2019-03-15,F044T021
403194,1,3,FA,1,2014-03-23,56,280,2,21,ПЕРЕВОД,8,2019-03-22,F021T002
403194,1,3,FA,1,2014-03-23,56,280,44,2,ПЕРЕВОД,9,2019-03-23,F002T044
403230,1,3,FA,1,2014-03-30,61,278,18,17,ПЕРЕВОД,357,2019-03-11,F017T018
403230,1,4,FA,1,2014-03-30,61,282,21,44,ПЕРЕВОД,1,2019-04-10,F044T021
403230,1,4,FA,1,2014-03-30,61,282,2,21,ПЕРЕВОД,7,2019-04-16,F021T002
403236,1,4,MA,1,2014-03-31,66,250,2,21,ПЕРЕВОД,9,2019-03-12,F021T002
404008,1,3,MA,1,2014-04-02,62,274,18,17,ПЕРЕВОД,357,2019-03-19,F017T018
404008,1,4,FA,1,2014-04-02,57,281,21,44,ПЕРЕВОД,1,2019-04-13,F044T021
404008,1,4,FA,1,2014-04-02,57,281,2,21,ПЕРЕВОД,7,2019-04-19,F021T002
404025,1,3,MD,1,2014-04-04,61,283,4,11,ПЕРЕВОД,182,2019-03-25,F011T004
404025,1,3,MD,1,2014-04-04,61,283,7,4,ПЕРЕВОД,189,2019-04-01,F004T007
404030,1,3,FA,1,2014-04-06,63,215,45,17,ПЕРЕВОД,317,2019-03-22,F017T045
404030,1,3,FA,1,2014-04-06,63,215,17,45,ПЕРЕВОД,328,2019-04-02,F045T017
404035,1,3,FA,1,2014-04-06,58,0,3,11,ПЕРЕВОД,111,2019-04-04,F011T003
404073,1,3,FA,1,2014-04-13,66,0,43,3,ПЕРЕВОД,215,2019-04-04,F003T043
404073,1,3,FA,1,2014-04-13,66,0,3,7,ПЕРЕВОД,215,2019-04-04,F007T003
404077,1,2,FA,3,2014-04-14,57,279,18,17,ПЕРЕВОД,396,2019-04-08,F017T018
404089,1,4,FD,1,2014-04-17,49,272,3,11,ПЕРЕВОД,72,2019-03-23,F011T003
404098,1,3,FA,1,2014-04-18,58,272,7,6,ПЕРЕВОД,288,2019-04-22,F006T007
404121,1,3,MA,1,2014-04-21,58,0,5,11,ПЕРЕВОД,300,2019-04-18,F011T005
404141,1,3,FA,1,2014-04-25,57,0,13,6,ПЕРЕВОД,261,2019-03-09,F006T013
404141,1,3,FA,1,2014-04-25,57,0,44,13,ПЕРЕВОД,280,2019-03-28,F013T044
404149,1,3,FA,1,2014-04-27,57,0,13,3,ПЕРЕВОД,167,2019-03-13,F003T013
404168,1,3,MD,1,2014-04-30,0,272,12,4,ПЕРЕВОД,276,2019-04-02,F004T012
405010,1,2,FA,1,2014-05-03,55,266,7,4,ПЕРЕВОД,815,2019-04-12,F004T007
405017,1,3,FA,3,2014-05-03,67,280,3,5,ПЕРЕВОД,190,2019-03-25,F005T003
405021,1,3,FA,1,2014-05-04,61,279,9,10,ПЕРЕВОД,98,2019-03-25,F010T009
405021,1,3,FA,1,2014-05-04,61,279,11,9,ПЕРЕВОД,109,2019-04-05,F009T011
405035,1,3,FA,1,2014-05-07,56,97,3,10,ПЕРЕВОД,64,2019-03-15,F010T003
405059,1,3,FA,1,2014-05-11,51,280,5,11,ПЕРЕВОД,160,2019-04-18,F011T005
405065,1,3,FA,1,2014-05-12,63,215,13,10,ПЕРЕВОД,85,2019-03-07,F010T013
405065,1,3,FA,1,2014-05-12,63,215,42,10,ПЕРЕВОД,126,2019-04-17,F010T042
405065,1,3,FA,1,2014-05-12,63,215,1,42,ПЕРЕВОД,128,2019-04-19,F042T001
405065,1,3,FA,1,2014-05-12,63,215,10,1,ПЕРЕВОД,132,2019-04-23,F001T010
405074,1,3,FA,1,2014-05-15,58,209,21,44,ПЕРЕВОД,2,2019-03-25,F044T021
405074,1,3,FA,1,2014-05-15,58,209,2,21,ПЕРЕВОД,9,2019-04-01,F021T002
405078,1,3,FA,1,2014-05-16,56,0,13,3,ПЕРЕВОД,427,2019-03-13,F003T013
405078,1,3,FA,1,2014-05-16,56,0,23,13,ПЕРЕВОД,453,2019-04-08,F013T023
405083,1,3,FA,3,2014-05-17,67,277,3,10,ПЕРЕВОД,101,2019-03-13,F010T003
405087,1,3,MA,1,2014-05-18,60,0,5,11,ПЕРЕВОД,130,2019-04-18,F011T005
405092,1,3,MA,1,2014-05-20,59,273,18,17,ПЕРЕВОД,321,2019-04-08,F017T018
405105,1,3,FA,2,2014-05-24,59,275,4,7,ПЕРЕВОД,324,2019-03-25,F007T004
405114,1,3,FA,1,2014-05-25,60,272,13,3,ПЕРЕВОД,199,2019-03-13,F003T013
406003,1,3,FA,1,2014-06-01,56,280,7,6,ПЕРЕВОД,353,2019-03-23,F006T007
406010,1,2,MA,1,2014-06-02,62,277,7,4,ПЕРЕВОД,445,2019-03-23,F004T007
406032,1,2,FA,3,2014-06-07,80,280,18,17,ПЕРЕВОД,324,2019-03-11,F017T018
406032,1,3,FD,3,2014-06-07,63,0,21,44,ПЕРЕВОД,1,2019-04-12,F044T021
406032,1,3,FD,3,2014-06-07,63,0,2,21,ПЕРЕВОД,8,2019-04-19,F021T002
406073,1,3,MA,1,2014-06-20,65,0,3,11,ПЕРЕВОД,241,2019-03-25,F011T003
